City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
257,Petropavlovka,RU,50.6114,105.3196,63.91,35,73,5.44,broken clouds
258,Yinchuan,CN,38.4681,106.2731,67.21,36,0,2.37,clear sky
259,Kyren,RU,51.6828,102.1408,60.26,38,100,1.79,overcast clouds
260,Sire,NG,12.9299,5.2043,72.12,91,14,11.7,few clouds
261,Garissa,KE,-0.4536,39.6401,79.93,61,38,16.6,scattered clouds
262,Kipini,KE,-2.5257,40.5262,79.09,70,74,12.91,broken clouds
263,Cidreira,BR,-30.1811,-50.2056,59.79,97,100,3.09,overcast clouds
264,Kyenjojo,UG,0.6328,30.6214,69.84,73,27,1.3,scattered clouds
265,Marquette,US,46.5333,-87.6335,60.76,91,67,5.37,broken clouds
266,Poya,NC,-21.35,165.15,79.45,65,2,3.18,clear sky
267,Lahijan,IR,37.2061,50.0029,78.58,55,7,5.73,clear sky
268,Koryukivka,UA,51.7688,32.2481,50.67,79,78,4.47,broken clouds
269,Kuytun,RU,54.3419,101.5036,49.93,78,100,15.7,light rain
270,Zhuhai,CN,22.2769,113.5678,87.51,74,20,14.97,few clouds
271,Saint-Joseph,RE,-21.3667,55.6167,73.78,73,16,14.76,light rain
272,Airai,TL,-8.9266,125.4092,73.63,56,64,5.06,broken clouds
273,Zabid,YE,14.1951,43.3152,89.74,61,80,4.5,broken clouds
274,Eldorado,BR,-23.7869,-54.2836,63.09,96,87,2.57,overcast clouds
275,Bollnas,SE,61.3482,16.3946,44.89,74,37,7.7,scattered clouds
276,Portland,US,45.5234,-122.6762,70.79,66,0,5.75,clear sky
277,Vallenar,CL,-28.5708,-70.7581,49.89,79,0,4.61,clear sky
278,Gamba,GA,-2.65,10.0,74.89,87,99,4.05,overcast clouds
279,Chicama,PE,-7.8447,-79.1469,57.74,88,68,8.03,broken clouds
280,Meulaboh,ID,4.1363,96.1285,85.14,63,94,5.97,light rain
281,Tabuk,PH,17.4189,121.4443,83.23,76,100,4.97,overcast clouds
282,Touros,BR,-5.1989,-35.4608,74.25,85,72,13.31,broken clouds
283,Henties Bay,NA,-22.116,14.2845,56.12,65,0,6.4,clear sky
284,Torbay,CA,47.6666,-52.7314,50.29,95,75,2.3,broken clouds
285,Georgetown,MY,5.4112,100.3354,87.89,68,20,5.01,few clouds
286,Pisco,PE,-13.7,-76.2167,60.85,82,100,2.3,overcast clouds
287,Westport,US,41.1415,-73.3579,70.02,94,40,3.44,scattered clouds
288,Kuminskiy,RU,58.6667,66.5667,68.63,69,97,7.67,overcast clouds
289,Gao,ML,16.6362,1.637,84.69,56,62,7.81,broken clouds
290,Sonqor,IR,34.7837,47.6004,78.1,14,32,2.93,scattered clouds
291,Ayagoz,KZ,47.9714,80.4392,73.51,15,0,17.49,clear sky
292,Kenai,US,60.5544,-151.2583,53.69,98,100,5.75,moderate rain
293,Ronneby,SE,56.21,15.276,45.1,100,0,3.44,clear sky
294,Agapovka,RU,53.2973,59.1348,67.21,27,19,9.04,few clouds
295,Lasa,IT,46.6166,10.7002,47.28,56,8,4.99,clear sky
296,Ponta Do Sol,PT,32.6667,-17.1,69.71,83,32,2.89,scattered clouds
297,Lugoba,TZ,-6.45,38.3333,77.83,62,39,4.56,scattered clouds
298,Antiguo Morelos,MX,22.5495,-99.0812,75.11,96,47,2.98,scattered clouds
299,Turayf,SA,31.6725,38.6637,71.85,60,0,11.5,clear sky
300,Severo-Yeniseyskiy,RU,60.3725,93.0408,42.1,91,99,12.3,light rain
301,Datong,CN,40.0936,113.2914,64.11,24,15,5.77,few clouds
302,Puerto El Triunfo,SV,13.2833,-88.55,75.92,91,78,3.85,broken clouds
303,Akdepe,TM,42.0551,59.3788,71.69,13,0,12.15,clear sky
304,Plettenberg Bay,ZA,-34.0527,23.3716,56.71,61,24,5.3,few clouds
305,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.4,77,37,14.63,scattered clouds
306,Grindavik,IS,63.8424,-22.4338,51.75,100,100,9.22,light intensity drizzle
307,Turukhansk,RU,65.8167,87.9833,40.89,47,23,20.58,few clouds
308,Mayskiy,RU,47.6931,40.1025,53.01,38,30,7.09,scattered clouds
309,Port Macquarie,AU,-31.4333,152.9167,67.89,62,84,8.7,broken clouds
310,Venice,US,27.0998,-82.4543,79.99,90,0,4.61,clear sky
311,Jieshi,CN,22.8134,115.8257,83.84,69,64,20.42,broken clouds
312,Gritsovskiy,RU,54.1376,38.1604,52.18,71,71,15.05,broken clouds
313,Buchanan,LR,5.8808,-10.0467,74.8,88,82,5.53,light rain
314,Nishihara,JP,26.1842,127.7558,83.86,79,40,20.71,shower rain
315,Kodigenahalli,IN,13.72,77.3903,80.33,52,100,11.99,overcast clouds
316,Ulkan,RU,57.243,107.3223,51.3,82,99,12.01,light rain
317,Bereda,ES,43.2686,-7.5406,58.14,100,18,2.8,few clouds
318,Severo-Kurilsk,RU,50.6789,156.125,59.07,96,100,15.99,overcast clouds
319,Massakory,TD,12.996,15.7293,81.79,74,31,9.57,scattered clouds
320,Otavi,NA,-19.65,17.3333,52.34,24,0,21.0,clear sky
321,Killybegs,IE,54.6333,-8.45,54.43,88,97,7.99,overcast clouds
322,Santa Maria,BR,-29.6842,-53.8069,55.08,96,51,3.6,broken clouds
323,Norwich,GB,52.6278,1.2983,51.85,91,20,5.75,few clouds
324,Peterhead,GB,57.5058,-1.7981,54.0,85,100,6.93,overcast clouds
325,Grand Gaube,MU,-20.0064,57.6608,73.8,68,6,10.0,clear sky
326,Clyde River,CA,70.4692,-68.5914,32.23,93,100,9.22,light snow
327,Vestmannaeyjar,IS,63.4427,-20.2734,52.47,94,100,10.27,overcast clouds
328,Hami,CN,42.8,93.45,82.49,11,76,9.71,broken clouds
329,Haapiti,PF,-17.5667,-149.8667,74.93,70,2,14.5,light rain
330,San Jeronimo,PE,-11.9472,-75.2829,50.47,78,30,1.03,scattered clouds
331,Beinamar,TD,8.6698,15.3813,69.22,98,100,5.55,moderate rain
332,Rincon,US,32.296,-81.2354,73.85,95,0,3.44,clear sky
333,Bubaque,GW,11.2833,-15.8333,80.67,76,99,10.98,overcast clouds
334,The Pas,CA,53.8251,-101.2541,55.42,94,100,9.22,overcast clouds
335,Magdalena,PH,14.1999,121.429,78.35,84,93,5.57,moderate rain
336,Demba,CD,-5.51,22.2667,73.4,87,65,1.77,broken clouds
337,Miri,MY,4.4148,114.0089,86.14,62,40,8.05,scattered clouds
